question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
Do you have a loyalty program?,"Yes, our 'VPM Plus' program offers points on every purchase."
Is cash on delivery available everywhere?,"COD is available for most locations within India, subject to pin code verification."
How do I change my shipping address?,You can update your address in the 'Account' settings before the order is dispatched.
What is the warranty period for electronics?,Electronics usually come with a 1-year manufacturer warranty unless specified otherwise.
Can I pay using multiple gift cards?,"Currently, you can only apply one gift card per transaction."
How do I subscribe to the newsletter?,Scroll to the bottom of our homepage and enter your email address.
Are prices inclusive of GST?,"Yes, all prices shown on the website are inclusive of all taxes."
What happens if I miss my delivery?,"The courier will attempt delivery up to 3 times before returning the product to us."
Can I exchange a product instead of returning it?,"Yes, exchanges for different sizes are available if the product is in stock."
Is guest checkout available?,"No, you need to create an account or login to place an order."
How do I check my order history?,"Go to 'My Orders' in your profile section to view all past and current orders."
What are the shipping charges?,"Free shipping on orders above 499, otherwise a flat fee of 40 is applicable."
Do you offer Same-Day delivery?,"Same-Day delivery is available in select metropolitan cities for orders placed before 11 AM."
Can I return clearance sale items?,"Items bought during a 'Clearance Sale' are not eligible for returns unless defective."
How do I delete my account?,"Please contact our support team at support@ecommerce-agent.com to request account deletion."
How can I find a size guide?,"Size guides are available on the product page, right next to the 'Select Size' option."
Is my personal data secure?,"Yes, we use industry-standard encryption (SSL) to protect your personal and payment information."
Do you offer bulk or wholesale ordering?,"Yes, please contact our B2B team at bulk@ecommerce-agent.com for wholesale inquiries."
What kind of packaging do you use?,"We use eco-friendly, recyclable corrugated boxes and paper fillers wherever possible."
What are your customer support hours?,"Our support team is available 24/7 via chat and from 9 AM to 9 PM IST via phone."
Can I change my registered phone number?,"Yes, you can update your mobile number under 'Profile Details' in your account settings."
How do I reset a forgotten password?,"Click 'Forgot Password' on the login page and follow the instructions sent to your email."
Can I be notified when an item is back in stock?,"Yes, click the 'Notify Me' button on the out-of-stock product page."
How do I know the seller's rating?,"Seller ratings and reviews are displayed prominently under the product title."
Can I leave a review without a photo?,"Yes, photos are optional, but they help other customers make better decisions."
Do you offer price matching?,"We do not offer price matching against other websites at this time."
Is there a referral program?,"Yes, refer a friend and you both get a 100 coupon after their first purchase."
How do pre-orders work?,"Pre-order items are reserved for you and shipped as soon as they become available."
Why did I receive my order in separate packages?,"To ensure faster delivery, items from different sellers or warehouses may be shipped separately."
How can I download my tax invoice?,"Invoices can be downloaded from the 'My Orders' section for any completed purchase."
Is there a mobile app available?,"Yes, our app is available on both the Google Play Store and Apple App Store."
Where can I follow you on social media?,"You can find us on Instagram, X (Twitter), and Facebook @EcomAgent."
How do you handle expired promo codes?,"Expired coupons cannot be reactivated; please check our 'Deals' page for current offers."
Are your products 100% authentic?,"We only source products from authorized distributors and verified sellers to ensure 100% authenticity."
Do you offer gift wrapping services?,"Yes, you can add gift wrapping and a personalized note at the checkout page."
Is there a student discount available?,"Yes, verify your student ID via 'StudentBeans' to get an extra 5% off."
Can I pay using a foreign currency?,"We only accept payments in Indian Rupees (INR) at this time."
What happens to my points if I return an item?,"Points earned from a purchase will be deducted from your account if the item is returned."
Can I use an E-Gift Voucher on a COD order?,"No, E-Gift Vouchers can only be used with prepaid payment methods."
How do I report a fake review?,"Use the 'Report' button next to the review or contact customer support."
